,Basanite,Rhyodacite,Foidite,Tephrite,Benmoreite,Boninite,Kimberlite,Rhyolite,Shoshonite,Andesite,Mugearite,Ankaramite,Picrite,Komatiite,Basalt,Nephelinite,Trachyandesite,Latite,Hawaiite,Phonolite,Dacite,Trachyte,Trachybasalt
Basanite,0.5,0.004529894582345657,0.3113908436331448,0.41601999526566835,0.04704914239635965,0.19283470569004604,0.005513640403634222,0.005942891871308487,0.19302930591875941,0.03220976783514592,0.18328862959519607,,0.12954269311946176,0.010466261204779266,0.24390368713626925,0.4321661536098712,0.07932985458363946,0.05425187733774283,0.3791093650314274,0.04416444371496656,0.006684760551706676,0.02378228164169069,0.3541895353280353
Rhyodacite,0.004529894582345657,0.5,0.012473496466745632,0.050975562533288006,0.1574209821962316,0.1608135818444704,0.031855775338220836,0.3732969075163407,0.15751058749451496,0.24214671272884375,0.11896509036301833,,0.051914690281754536,0.004588531136461872,0.08003535685813357,0.0020204227776286486,0.27492724112998046,0.2744915756982781,0.03864077998276523,0.16985868182280048,0.3784918173345689,0.363545956791459,0.06579118854164863
Foidite,0.3113908436331448,0.012473496466745632,0.5,0.48010680286087376,0.09560118262126256,0.09877338460618092,0.015718081922685784,0.011449489363061758,0.29576426458293564,0.05916412925743302,0.15312562148966086,,0.11141600389039284,0.00816453667505181,0.18295881976713618,0.3850283145254052,0.17265909999041634,0.2345817238476218,0.1472962892151816,0.15119168519682175,0.013605709496595324,0.1077221306613686,0.31713919582958083
Tephrite,0.41601999526566835,0.050975562533288006,0.48010680286087376,0.5,0.13372389194888368,0.16677157823029745,0.003246297176863911,0.02888763385191684,0.4592570655974158,0.11837540671276835,0.3054914948341419,,0.13267260772865735,0.011507140605188359,0.2616965362804593,0.3787843661293281,0.31939192736358224,0.3412164835225887,0.23903091917550545,0.20510709805579588,0.034976803622413025,0.1999346599102041,0.42994685381788267
Benmoreite,0.04704914239635965,0.1574209821962316,0.09560118262126256,0.13372389194888368,0.5,0.1632766814226623,8.5930805904246e-05,0.16588955439338748,0.08393851151868022,0.29789919222745387,0.2812190090473822,,0.06768551682281979,0.0016784451774207695,0.07316671741781489,0.062426723735231684,0.39629728317907953,0.2993124210547843,0.10408492889160571,0.16377596325348526,0.2759374928008193,0.31348310498516874,0.16837619694970568
Boninite,0.19283470569004604,0.1608135818444704,0.09877338460618092,0.16677157823029745,0.1632766814226623,0.5,0.038500497283496665,0.11892020943764188,0.23088348265529685,0.21834458383930772,0.19579424705911738,,0.3317472614247002,0.3319304069263024,0.1947947660804351,0.17359585471541972,0.13698229786274135,0.09456775473905904,0.16254116003750668,0.04196070857960036,0.20112299851887933,0.22129988289216793,0.14998941296686719
Kimberlite,0.005513640403634222,0.031855775338220836,0.015718081922685784,0.003246297176863911,8.5930805904246e-05,0.038500497283496665,0.5,0.003807239923556526,0.04478713318508655,0.008191655215944808,0.0071772433725504434,,0.05533902349220846,0.013359898690911956,0.010204681459180411,0.0013328201385563114,0.021550561858975723,0.01706696497684703,2.1261312465084973e-05,0.00015377182185734173,0.02088934122496498,0.006739728275404677,0.00673455030248974
Rhyolite,0.005942891871308487,0.3732969075163407,0.011449489363061758,0.02888763385191684,0.16588955439338748,0.11892020943764188,0.003807239923556526,0.5,0.11041289446604122,0.10674825546680111,0.041707609316084,,0.03268350216431262,0.0020021009509305575,0.03299098679837073,0.005534289695018941,0.12281921792432281,0.10583516366347276,0.003640614284867556,0.1709298329546985,0.24473329339421848,0.3059655392273822,0.021123459334043995
Shoshonite,0.19302930591875941,0.15751058749451496,0.29576426458293564,0.4592570655974158,0.08393851151868022,0.23088348265529685,0.04478713318508655,0.11041289446604122,0.5,0.23681400632007993,0.22758263982914007,,0.16336304657487866,0.014702987204156515,0.2646834013403716,0.07057371566322476,0.3782770886671809,0.4505838419881636,0.14100726270783087,0.09966376904879291,0.1458390993909366,0.21253728229538763,0.39286374866249824
Andesite,0.03220976783514592,0.24214671272884375,0.05916412925743302,0.11837540671276835,0.29789919222745387,0.21834458383930772,0.008191655215944808,0.10674825546680111,0.23681400632007993,0.5,0.26468791115011586,,0.12914374868330278,0.026381388682090536,0.2520009669588319,0.017827834500102994,0.3713371653246575,0.34548133248023327,0.11542199300868367,0.060506465582055254,0.3828510616607395,0.19082278640261638,0.17892937689856836
Mugearite,0.18328862959519607,0.11896509036301833,0.15312562148966086,0.3054914948341419,0.2812190090473822,0.19579424705911738,0.0071772433725504434,0.041707609316084,0.22758263982914007,0.26468791115011586,0.5,,0.14257251337890692,0.030334598656067125,0.30649677855536595,0.22123303232744698,0.28196207331728934,0.23653324334339385,0.37094419307284865,0.03688567118939298,0.09962214773860681,0.10163894184248715,0.4060143871568924
Ankaramite,,,,,,,,,,,,0.5,,,,,,,,,,,
Picrite,0.12954269311946176,0.051914690281754536,0.11141600389039284,0.13267260772865735,0.06768551682281979,0.3317472614247002,0.05533902349220846,0.03268350216431262,0.16336304657487866,0.12914374868330278,0.14257251337890692,,0.5,0.28483379387589086,0.2889765962615136,0.09810028517309748,0.10020077589469024,0.07968746299573913,0.14415715245863556,0.05806221027878853,0.04749307097450324,0.05820130314074293,0.1271610309721401
Komatiite,0.010466261204779266,0.004588531136461872,0.00816453667505181,0.011507140605188359,0.0016784451774207695,0.3319304069263024,0.013359898690911956,0.0020021009509305575,0.014702987204156515,0.026381388682090536,0.030334598656067125,,0.28483379387589086,0.5,0.19349551020971273,0.0005567321385705915,0.006600214894767552,0.00416176006495871,0.004139842774751618,0.0006843898235263416,0.002906817523242508,0.0007417426612500311,0.0058172666724126765
Basalt,0.24390368713626925,0.08003535685813357,0.18295881976713618,0.2616965362804593,0.07316671741781489,0.1947947660804351,0.010204681459180411,0.03299098679837073,0.2646834013403716,0.2520009669588319,0.30649677855536595,,0.2889765962615136,0.19349551020971273,0.5,0.21560249817509602,0.1635040182450726,0.18019855967216372,0.3485758194483734,0.04301765971453347,0.106551619559181,0.0738110836024315,0.33654667974401575
Nephelinite,0.4321661536098712,0.0020204227776286486,0.3850283145254052,0.3787843661293281,0.062426723735231684,0.17359585471541972,0.0013328201385563114,0.005534289695018941,0.07057371566322476,0.017827834500102994,0.22123303232744698,,0.09810028517309748,0.0005567321385705915,0.21560249817509602,0.5,0.05995689618618373,0.02445132479451209,0.3217818968888503,0.14733281037364732,0.0009352215464497979,0.015860120410356105,0.30988271696726216
Trachyandesite,0.07932985458363946,0.27492724112998046,0.17265909999041634,0.31939192736358224,0.39629728317907953,0.13698229786274135,0.021550561858975723,0.12281921792432281,0.3782770886671809,0.3713371653246575,0.28196207331728934,,0.10020077589469024,0.006600214894767552,0.1635040182450726,0.05995689618618373,0.5,0.45597895337617994,0.0858913607534754,0.18463673206757325,0.3868491217576002,0.3440016750763465,0.23591870981629665
Latite,0.05425187733774283,0.2744915756982781,0.2345817238476218,0.3412164835225887,0.2993124210547843,0.09456775473905904,0.01706696497684703,0.10583516366347276,0.4505838419881636,0.34548133248023327,0.23653324334339385,,0.07968746299573913,0.00416176006495871,0.18019855967216372,0.02445132479451209,0.45597895337617994,0.5,0.06974298094307481,0.15454808380732252,0.3507973230888968,0.3185617323243545,0.2557581419268075
Hawaiite,0.3791093650314274,0.03864077998276523,0.1472962892151816,0.23903091917550545,0.10408492889160571,0.16254116003750668,2.1261312465084973e-05,0.003640614284867556,0.14100726270783087,0.11542199300868367,0.37094419307284865,,0.14415715245863556,0.004139842774751618,0.3485758194483734,0.3217818968888503,0.0858913607534754,0.06974298094307481,0.5,0.017924041764568497,0.05607241750808593,0.006475526129622613,0.4668201168228901
Phonolite,0.04416444371496656,0.16985868182280048,0.15119168519682175,0.20510709805579588,0.16377596325348526,0.04196070857960036,0.00015377182185734173,0.1709298329546985,0.09966376904879291,0.060506465582055254,0.03688567118939298,,0.05806221027878853,0.0006843898235263416,0.04301765971453347,0.14733281037364732,0.18463673206757325,0.15454808380732252,0.017924041764568497,0.5,0.08228043600152112,0.38884139010440183,0.06247606870110952
Dacite,0.006684760551706676,0.3784918173345689,0.013605709496595324,0.034976803622413025,0.2759374928008193,0.20112299851887933,0.02088934122496498,0.24473329339421848,0.1458390993909366,0.3828510616607395,0.09962214773860681,,0.04749307097450324,0.002906817523242508,0.106551619559181,0.0009352215464497979,0.3868491217576002,0.3507973230888968,0.05607241750808593,0.08228043600152112,0.5,0.33307967434933533,0.05511702073377012
Trachyte,0.02378228164169069,0.363545956791459,0.1077221306613686,0.1999346599102041,0.31348310498516874,0.22129988289216793,0.006739728275404677,0.3059655392273822,0.21253728229538763,0.19082278640261638,0.10163894184248715,,0.05820130314074293,0.0007417426612500311,0.0738110836024315,0.015860120410356105,0.3440016750763465,0.3185617323243545,0.006475526129622613,0.38884139010440183,0.33307967434933533,0.5,0.0908195553297697
Trachybasalt,0.3541895353280353,0.06579118854164863,0.31713919582958083,0.42994685381788267,0.16837619694970568,0.14998941296686719,0.00673455030248974,0.021123459334043995,0.39286374866249824,0.17892937689856836,0.4060143871568924,,0.1271610309721401,0.0058172666724126765,0.33654667974401575,0.30988271696726216,0.23591870981629665,0.2557581419268075,0.4668201168228901,0.06247606870110952,0.05511702073377012,0.0908195553297697,0.5
